"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.453333333333333,0.453333333333333,0.413333333333333,0.48,0.52,0.44,0.426666666666667,0.413333333333333,0.48,0.413333333333333,0.426666666666667,0.413333333333333,0.453333333333333,0.373333333333333,0.466666666666667
"2",0.306666666666667,0.346666666666667,0.346666666666667,0.28,0.346666666666667,0.386666666666667,0.386666666666667,0.306666666666667,0.346666666666667,0.373333333333333,0.36,0.373333333333333,0.373333333333333,0.36,0.333333333333333
"3",0.293333333333333,0.32,0.266666666666667,0.226666666666667,0.28,0.28,0.24,0.2,0.32,0.346666666666667,0.386666666666667,0.253333333333333,0.266666666666667,0.36,0.32
"4",0.253333333333333,0.266666666666667,0.253333333333333,0.266666666666667,0.226666666666667,0.213333333333333,0.28,0.32,0.253333333333333,0.306666666666667,0.226666666666667,0.266666666666667,0.226666666666667,0.226666666666667,0.2
"5",0.24,0.2,0.173333333333333,0.2,0.16,0.16,0.173333333333333,0.226666666666667,0.24,0.226666666666667,0.146666666666667,0.173333333333333,0.213333333333333,0.16,0.253333333333333
"6",0.226666666666667,0.213333333333333,0.2,0.146666666666667,0.133333333333333,0.173333333333333,0.186666666666667,0.186666666666667,0.16,0.146666666666667,0.2,0.16,0.173333333333333,0.173333333333333,0.173333333333333
"7",0.146666666666667,0.173333333333333,0.12,0.146666666666667,0.133333333333333,0.146666666666667,0.12,0.133333333333333,0.226666666666667,0.12,0.12,0.12,0.133333333333333,0.12,0.12
"8",0.12,0.146666666666667,0.08,0.146666666666667,0.0933333333333334,0.146666666666667,0.133333333333333,0.12,0.16,0.106666666666667,0.133333333333333,0.173333333333333,0.146666666666667,0.106666666666667,0.0933333333333334
"9",0.106666666666667,0.08,0.12,0.08,0.12,0.0933333333333334,0.08,0.133333333333333,0.0933333333333334,0.0933333333333334,0.0933333333333334,0.106666666666667,0.0533333333333333,0.146666666666667,0.106666666666667
"10",0.0933333333333334,0.0666666666666667,0.0933333333333334,0.08,0.08,0.0666666666666667,0.0933333333333334,0.0666666666666667,0.0933333333333334,0.08,0.0933333333333334,0.08,0.0266666666666666,0.08,0.106666666666667
"11",0.0666666666666667,0.106666666666667,0.12,0.0533333333333333,0.0933333333333334,0.08,0.0666666666666667,0.08,0.0533333333333333,0.08,0.0533333333333333,0.0533333333333333,0.0533333333333333,0.04,0.0933333333333334
"12",0.04,0.0533333333333333,0.0133333333333333,0.0533333333333333,0.0266666666666666,0.0533333333333333,0.0533333333333333,0.04,0.0266666666666666,0.04,0.04,0.08,0.0666666666666667,0.04,0.106666666666667
"13",0.0533333333333333,0.04,0.04,0.0666666666666667,0.04,0.04,0.0533333333333333,0.0266666666666666,0.0533333333333333,0.0133333333333333,0.0266666666666666,0.0133333333333333,0.0266666666666666,0.0266666666666666,0.0533333333333333
