"n","p","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120"
175,1,1,0.0909090909090909,0.113636363636364,0.113636363636364,0.113636363636364,0.0681818181818182,0.0681818181818182,0.136363636363636,0.136363636363636,0.0681818181818182,0.0681818181818182,0.0909090909090909,0.113636363636364,0.136363636363636,0.0454545454545454,0.0909090909090909,0.113636363636364,0.0681818181818182,0.159090909090909,0.113636363636364,0.159090909090909,0.113636363636364,0.0454545454545454,0.113636363636364,0.113636363636364,0.0909090909090909,0.113636363636364,0.0909090909090909,0.0909090909090909,0.136363636363636,0.113636363636364,0.113636363636364,0.0909090909090909,0.113636363636364,0.0909090909090909,0.0909090909090909,0.0454545454545454,0.159090909090909,0.0454545454545454,0.136363636363636,0.0909090909090909,0.136363636363636,0.0909090909090909,0.0909090909090909,0.113636363636364,0.136363636363636,0.0681818181818182,0.0227272727272727,0.0681818181818182,0.136363636363636,0.113636363636364,0.0909090909090909,0.0681818181818182,0.0681818181818182,0.113636363636364,0.0909090909090909,0.0681818181818182,0.0909090909090909,0.113636363636364,0.0454545454545454,0.0909090909090909,0.0681818181818182,0.0909090909090909,0.0909090909090909,0.113636363636364,0.0681818181818182,0.0909090909090909,0.0909090909090909,0.113636363636364,0.0909090909090909,0.0681818181818182,0.0681818181818182,0.113636363636364,0.0909090909090909,0.0681818181818182,0.113636363636364,0.113636363636364,0.159090909090909,0.0909090909090909,0.136363636363636,0.0681818181818182,0.0681818181818182,0.0681818181818182,0.0681818181818182,0.0909090909090909,0.113636363636364,0.113636363636364,0.136363636363636,0.0909090909090909,0.0909090909090909,0.113636363636364,0.113636363636364,0.0909090909090909,0.0681818181818182,0.159090909090909,0.0909090909090909,0.0454545454545454,0.159090909090909,0.0681818181818182,0.113636363636364,0.113636363636364,0.113636363636364,0.113636363636364,0.0909090909090909,0.113636363636364,0.113636363636364,0.136363636363636,0.113636363636364,0.0909090909090909,0.0227272727272727,0.113636363636364,0.0909090909090909,0.0454545454545454,0.159090909090909,0.136363636363636,0.113636363636364,0.0681818181818182,0.0909090909090909,0.0909090909090909,0.136363636363636,0.113636363636364
250,1,1,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.0483870967741935,0.0645161290322581,0,0.0645161290322581,0.032258064516129,0.032258064516129,0.0806451612903226,0.0645161290322581,0.0161290322580645,0.0483870967741935,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.0483870967741935,0.0806451612903226,0.032258064516129,0.0483870967741935,0.0645161290322581,0.0645161290322581,0.0161290322580645,0.0645161290322581,0.0806451612903226,0.0483870967741935,0.032258064516129,0.0645161290322581,0.0806451612903226,0.0645161290322581,0.0645161290322581,0.032258064516129,0.0161290322580645,0.032258064516129,0.0806451612903226,0.0483870967741935,0.0806451612903226,0.032258064516129,0.0645161290322581,0.0483870967741935,0.0161290322580645,0.0645161290322581,0.0645161290322581,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.032258064516129,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0483870967741935,0.032258064516129,0.032258064516129,0.0483870967741935,0.0645161290322581,0.0645161290322581,0.032258064516129,0.032258064516129,0.0967741935483871,0.0483870967741935,0.0645161290322581,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0483870967741935,0.0483870967741935,0.0483870967741935,0.0645161290322581,0.032258064516129,0.032258064516129,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.032258064516129,0.032258064516129,0.0645161290322581,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0806451612903226,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0645161290322581,0.032258064516129,0.0645161290322581,0.0483870967741935,0.0967741935483871,0.0483870967741935,0.0645161290322581,0.0645161290322581,0.032258064516129,0.0645161290322581,0.032258064516129,0.0483870967741935,0.0645161290322581,0.032258064516129,0.0483870967741935,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0161290322580645,0.032258064516129,0.032258064516129,0.0645161290322581,0.0483870967741935,0.032258064516129,0.032258064516129,0.0645161290322581,0.032258064516129,0.032258064516129,0.0161290322580645,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.0645161290322581
325,1,1,0.0370370370370371,0.0493827160493827,0.0493827160493827,0.0370370370370371,0.0370370370370371,0.0123456790123457,0.0493827160493827,0.0493827160493827,0.0370370370370371,0.0493827160493827,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0493827160493827,0.0123456790123457,0.0246913580246914,0.0617283950617284,0.0370370370370371,0.0370370370370371,0.0493827160493827,0,0.0370370370370371,0.0493827160493827,0.0493827160493827,0.0246913580246914,0.0246913580246914,0.0864197530864198,0.0493827160493827,0.0123456790123457,0.0493827160493827,0.0370370370370371,0.0246913580246914,0.0617283950617284,0.0370370370370371,0.0370370370370371,0.0370370370370371,0.0123456790123457,0.0370370370370371,0.0493827160493827,0.0123456790123457,0.0123456790123457,0.0370370370370371,0.0370370370370371,0.0246913580246914,0.0123456790123457,0.0246913580246914,0.0617283950617284,0.0370370370370371,0.0246913580246914,0.0246913580246914,0.0246913580246914,0.0246913580246914,0.0493827160493827,0.0370370370370371,0.0370370370370371,0.0493827160493827,0.0246913580246914,0.0370370370370371,0.0493827160493827,0.0246913580246914,0.0370370370370371,0.0370370370370371,0.0370370370370371,0.0493827160493827,0.0370370370370371,0.0246913580246914,0.0493827160493827,0.0493827160493827,0.0617283950617284,0.0123456790123457,0.0246913580246914,0.0370370370370371,0.0370370370370371,0.0370370370370371,0.0246913580246914,0.0493827160493827,0.0123456790123457,0.0246913580246914,0.0370370370370371,0.0246913580246914,0.0493827160493827,0.0370370370370371,0.0123456790123457,0.0617283950617284,0.0123456790123457,0.0493827160493827,0.0370370370370371,0.0493827160493827,0.0370370370370371,0.0370370370370371,0.0740740740740741,0.0370370370370371,0.0370370370370371,0.0493827160493827,0.0370370370370371,0.0493827160493827,0.0370370370370371,0.0617283950617284,0.0493827160493827,0.0370370370370371,0.0370370370370371,0.0123456790123457,0.0617283950617284,0.0123456790123457,0.0617283950617284,0.0370370370370371,0.0370370370370371,0.0123456790123457,0.0246913580246914,0.0370370370370371,0.0370370370370371,0.0493827160493827,0.0493827160493827,0.0246913580246914,0.0246913580246914,0.0987654320987654,0.0493827160493827,0.0370370370370371,0.0370370370370371,0.0493827160493827
400,1,1,0.01,0.03,0.01,0.02,0.04,0.02,0.02,0.03,0.04,0.03,0.04,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.04,0.02,0.01,0.03,0.03,0.04,0.04,0.05,0.02,0.02,0.02,0.03,0.04,0.03,0.02,0.03,0.0600000000000001,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.04,0.03,0.02,0.03,0.03,0.03,0.04,0.03,0.01,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.01,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.04,0.03,0.01,0.04,0.04,0.01,0.03,0.01,0.04,0.01,0.01,0.03,0.03,0.02,0.03,0,0.01,0.02,0.02,0.03,0.03,0.01,0.04
475,1,1,0.00840336134453779,0.0252100840336135,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.0252100840336135,0.0168067226890757,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0,0.0168067226890757,0.0168067226890757,0.0168067226890757,0.00840336134453779,0,0.0336134453781513,0.00840336134453779,0.00840336134453779,0,0.0168067226890757,0.0252100840336135,0.00840336134453779,0.0336134453781513,0.0252100840336135,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.0168067226890757,0,0.0252100840336135,0.00840336134453779,0,0.0168067226890757,0.0168067226890757,0.0168067226890757,0.00840336134453779,0.0168067226890757,0,0.0336134453781513,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.0252100840336135,0.0252100840336135,0.0168067226890757,0.00840336134453779,0.0168067226890757,0,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.0252100840336135,0.0168067226890757,0.0168067226890757,0.0252100840336135,0,0.00840336134453779,0.00840336134453779,0,0,0.0168067226890757,0.00840336134453779,0,0.0168067226890757,0.00840336134453779,0,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.0252100840336135,0.0336134453781513,0.0252100840336135,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.0168067226890757,0,0,0.00840336134453779,0.0168067226890757,0.0168067226890757,0.0168067226890757,0.00840336134453779,0.0252100840336135,0.0168067226890757,0.0168067226890757,0.00840336134453779,0.0252100840336135,0.00840336134453779,0.0168067226890757,0.0336134453781513,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.0168067226890757,0.0168067226890757,0,0.0252100840336135,0.0168067226890757,0.00840336134453779,0.0168067226890757,0.0168067226890757,0.00840336134453779,0.0168067226890757
550,1,1,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.0217391304347826,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.0217391304347826,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.0217391304347826,0.00724637681159424,0.0144927536231884,0.00724637681159424,0,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0,0.0144927536231884,0.0144927536231884,0.00724637681159424,0,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.0289855072463768,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.0144927536231884,0,0.0217391304347826,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.0289855072463768,0.0217391304347826,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.0217391304347826,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.0144927536231884,0,0,0.00724637681159424,0,0,0,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0.0217391304347826,0.0144927536231884,0.00724637681159424,0,0.0144927536231884,0,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0
625,1,1,0,0.0128205128205128,0.0128205128205128,0,0.00641025641025639,0.00641025641025639,0.0128205128205128,0.00641025641025639,0.00641025641025639,0.00641025641025639,0.00641025641025639,0.00641025641025639,0.0128205128205128,0,0,0,0.0128205128205128,0.00641025641025639,0,0.0128205128205128,0.00641025641025639,0.00641025641025639,0,0.00641025641025639,0.0128205128205128,0.0128205128205128,0,0,0.0192307692307693,0.0128205128205128,0,0.00641025641025639,0.00641025641025639,0,0.00641025641025639,0,0,0.00641025641025639,0.0128205128205128,0,0.00641025641025639,0.00641025641025639,0.0128205128205128,0.00641025641025639,0.00641025641025639,0.0128205128205128,0.00641025641025639,0,0.00641025641025639,0,0,0.0128205128205128,0.00641025641025639,0.0128205128205128,0,0,0.00641025641025639,0,0,0,0,0.00641025641025639,0.00641025641025639,0.00641025641025639,0,0,0.00641025641025639,0.00641025641025639,0.00641025641025639,0.00641025641025639,0,0.0128205128205128,0.00641025641025639,0,0.0128205128205128,0.0128205128205128,0.00641025641025639,0.00641025641025639,0.0128205128205128,0.00641025641025639,0.00641025641025639,0.00641025641025639,0,0.0192307692307693,0.00641025641025639,0,0.00641025641025639,0.00641025641025639,0.00641025641025639,0.0192307692307693,0,0,0.00641025641025639,0.00641025641025639,0,0.00641025641025639,0.00641025641025639,0,0.00641025641025639,0.0128205128205128,0.00641025641025639,0.00641025641025639,0.00641025641025639,0,0.00641025641025639,0.00641025641025639,0.0128205128205128,0.0128205128205128,0,0.00641025641025639,0.00641025641025639,0.0128205128205128,0.0128205128205128,0,0.00641025641025639,0,0,0.00641025641025639,0.0128205128205128,0
700,1,1,0.0114285714285715,0,0.00571428571428567,0,0,0.00571428571428567,0,0,0,0.00571428571428567,0,0.00571428571428567,0,0,0,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567,0,0,0,0,0,0.0114285714285715,0,0.00571428571428567,0.00571428571428567,0,0,0.00571428571428567,0.00571428571428567,0,0.0171428571428571,0.00571428571428567,0,0,0,0,0.00571428571428567,0,0,0,0,0,0,0.00571428571428567,0.00571428571428567,0.00571428571428567,0,0,0,0.00571428571428567,0.00571428571428567,0.0114285714285715,0,0,0.00571428571428567,0.00571428571428567,0,0.00571428571428567,0.00571428571428567,0,0,0.00571428571428567,0,0.00571428571428567,0.00571428571428567,0,0,0.00571428571428567,0.00571428571428567,0.0114285714285715,0.0114285714285715,0.00571428571428567,0.00571428571428567,0,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567,0,0.00571428571428567,0,0,0.00571428571428567,0,0.00571428571428567,0.00571428571428567,0.0114285714285715,0.00571428571428567,0,0,0,0,0,0,0.00571428571428567,0.00571428571428567,0,0,0,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567,0,0.0114285714285715,0,0.00571428571428567,0,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567,0.00571428571428567
100,1,2.5,0,0.12,0.16,0.2,0.12,0.08,0.12,0.12,0.16,0.24,0.16,0.12,0.08,0.08,0.12,0.16,0.12,0.24,0.16,0.08,0.08,0.12,0.24,0.12,0.12,0.16,0.28,0.2,0.16,0.12,0.12,0.12,0.08,0.16,0.2,0.08,0.16,0.2,0.12,0.12,0.16,0.12,0.2,0.12,0.04,0.16,0.12,0.16,0.08,0.12,0.12,0.12,0.16,0.16,0.08,0.08,0.16,0.12,0.2,0.12,0.16,0.2,0.12,0.12,0.12,0.08,0.2,0.12,0.2,0.12,0.08,0.16,0.12,0.2,0.16,0.04,0.12,0.12,0.12,0.12,0.08,0.12,0.2,0.16,0.08,0.08,0.2,0.04,0.16,0.12,0.16,0.2,0.16,0.08,0.12,0.08,0.08,0,0.12,0.16,0.16,0.04,0.16,0.2,0.2,0.12,0.12,0.12,0.12,0.24,0.12,0.08,0.12,0.12,0.2,0.2,0.08,0.12,0.16,0.2
175,1,2.5,0.0909090909090909,0.0681818181818182,0.0909090909090909,0.0909090909090909,0.0454545454545454,0.0681818181818182,0.136363636363636,0.136363636363636,0.0681818181818182,0.0454545454545454,0.0681818181818182,0.0909090909090909,0.113636363636364,0.0681818181818182,0.0454545454545454,0.113636363636364,0.0454545454545454,0.113636363636364,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0681818181818182,0.0909090909090909,0.113636363636364,0.136363636363636,0.0909090909090909,0.0454545454545454,0.113636363636364,0.0681818181818182,0.0909090909090909,0.0681818181818182,0.113636363636364,0.0909090909090909,0.0909090909090909,0.0227272727272727,0.136363636363636,0.0227272727272727,0.0909090909090909,0.0681818181818182,0.113636363636364,0.0909090909090909,0.113636363636364,0.0909090909090909,0.113636363636364,0.0454545454545454,0.0681818181818182,0.0227272727272727,0.136363636363636,0.0909090909090909,0.0681818181818182,0.0454545454545454,0.0681818181818182,0.0681818181818182,0.113636363636364,0.0227272727272727,0.0454545454545454,0.0681818181818182,0.0227272727272727,0.0681818181818182,0.0454545454545454,0.0681818181818182,0.0454545454545454,0.159090909090909,0.0909090909090909,0.0681818181818182,0.0909090909090909,0.136363636363636,0.0454545454545454,0.0454545454545454,0.0909090909090909,0.0681818181818182,0.0681818181818182,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.136363636363636,0.0681818181818182,0.136363636363636,0.0681818181818182,0.0227272727272727,0.0909090909090909,0.0681818181818182,0.0681818181818182,0.136363636363636,0.0909090909090909,0.0909090909090909,0.0681818181818182,0.0909090909090909,0.0909090909090909,0.0681818181818182,0.0227272727272727,0.0681818181818182,0.136363636363636,0.0681818181818182,0.0227272727272727,0.136363636363636,0.0454545454545454,0.113636363636364,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.113636363636364,0.113636363636364,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0227272727272727,0.113636363636364,0.0909090909090909,0.0454545454545454,0.113636363636364,0.0681818181818182,0.0681818181818182,0.0454545454545454,0.0681818181818182,0.0227272727272727,0.113636363636364,0.0681818181818182
250,1,2.5,0.032258064516129,0.0645161290322581,0.0483870967741935,0.032258064516129,0.0806451612903226,0,0.0806451612903226,0.032258064516129,0.0161290322580645,0.0645161290322581,0.032258064516129,0.032258064516129,0.0483870967741935,0.032258064516129,0.0806451612903226,0.0483870967741935,0.0483870967741935,0.0645161290322581,0.032258064516129,0.032258064516129,0.0645161290322581,0.0645161290322581,0.0161290322580645,0.0645161290322581,0.0645161290322581,0.0161290322580645,0.032258064516129,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0806451612903226,0.032258064516129,0.0161290322580645,0.0161290322580645,0.0645161290322581,0.032258064516129,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0161290322580645,0.0483870967741935,0.032258064516129,0.0806451612903226,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0483870967741935,0.032258064516129,0.0161290322580645,0.032258064516129,0.0645161290322581,0.0645161290322581,0.0483870967741935,0.0161290322580645,0.0161290322580645,0.0645161290322581,0.032258064516129,0.032258064516129,0.0161290322580645,0.032258064516129,0.0483870967741935,0.0161290322580645,0.0483870967741935,0.0483870967741935,0.0645161290322581,0.0161290322580645,0.0483870967741935,0.032258064516129,0.032258064516129,0.0483870967741935,0.0161290322580645,0.0161290322580645,0.032258064516129,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0645161290322581,0.032258064516129,0.032258064516129,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0645161290322581,0.032258064516129,0.0483870967741935,0.0161290322580645,0.032258064516129,0.0645161290322581,0.032258064516129,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0645161290322581,0.0161290322580645,0.032258064516129,0.0645161290322581,0.0806451612903226,0.0806451612903226,0.0161290322580645,0.0161290322580645,0.032258064516129,0.0483870967741935,0.0483870967741935,0.032258064516129,0.032258064516129,0.0483870967741935,0.032258064516129,0.0483870967741935,0.032258064516129,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0483870967741935
325,1,2.5,0.0370370370370371,0.0493827160493827,0.0493827160493827,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.0370370370370371,0.0493827160493827,0.0246913580246914,0.0246913580246914,0.0246913580246914,0.0370370370370371,0.0246913580246914,0.0246913580246914,0.0370370370370371,0.0493827160493827,0.0493827160493827,0.0617283950617284,0,0.0370370370370371,0.0370370370370371,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.0617283950617284,0.0493827160493827,0.0123456790123457,0.0246913580246914,0.0370370370370371,0.0123456790123457,0.0246913580246914,0.0123456790123457,0.0493827160493827,0.0370370370370371,0.0123456790123457,0.0370370370370371,0.0493827160493827,0.0123456790123457,0.0123456790123457,0.0493827160493827,0.0370370370370371,0.0123456790123457,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0370370370370371,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.0370370370370371,0.0493827160493827,0.0370370370370371,0.0246913580246914,0.0370370370370371,0.0370370370370371,0.0123456790123457,0.0370370370370371,0.0370370370370371,0.0246913580246914,0.0493827160493827,0.0246913580246914,0.0246913580246914,0.0493827160493827,0.0493827160493827,0.0617283950617284,0.0246913580246914,0.0370370370370371,0.0370370370370371,0.0246913580246914,0.0370370370370371,0.0370370370370371,0.0493827160493827,0.0123456790123457,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0370370370370371,0.0246913580246914,0.0370370370370371,0,0.0493827160493827,0.0370370370370371,0.0370370370370371,0.0246913580246914,0.0246913580246914,0.0617283950617284,0.0123456790123457,0.0123456790123457,0.0370370370370371,0.0493827160493827,0.0246913580246914,0.0123456790123457,0.0493827160493827,0.0370370370370371,0.0370370370370371,0.0246913580246914,0.0123456790123457,0.0246913580246914,0.0123456790123457,0.0370370370370371,0.0370370370370371,0.0370370370370371,0,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.0493827160493827,0.0493827160493827,0.0246913580246914,0.0123456790123457,0.0864197530864198,0.0370370370370371,0.0370370370370371,0.0370370370370371,0.0493827160493827
400,1,2.5,0.01,0.02,0.01,0.01,0.05,0.02,0.03,0.03,0.04,0.03,0.05,0.03,0.02,0.02,0,0.01,0.02,0.03,0.01,0.03,0.02,0.01,0.02,0.02,0.03,0.03,0.04,0.02,0.02,0.02,0.04,0.03,0.02,0,0.03,0.05,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.04,0.03,0.01,0.02,0.01,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.02,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.03,0.03,0.02,0.01,0.02,0.03,0.03,0,0.02,0.02,0.01,0.04,0.02,0.01,0.03,0.04,0,0.02,0.01,0.03,0.01,0.01,0.03,0.03,0.02,0.02,0,0.01,0.02,0.01,0.03,0.01,0.02,0.02
475,1,2.5,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.0252100840336135,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.0252100840336135,0,0.0168067226890757,0.00840336134453779,0.0168067226890757,0.00840336134453779,0,0.0336134453781513,0.00840336134453779,0.00840336134453779,0,0.0168067226890757,0.0168067226890757,0.00840336134453779,0.0252100840336135,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.0168067226890757,0,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.0168067226890757,0.0168067226890757,0.00840336134453779,0.00840336134453779,0,0.0252100840336135,0,0,0.0168067226890757,0.00840336134453779,0.0168067226890757,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.00840336134453779,0,0.00840336134453779,0,0.00840336134453779,0.0252100840336135,0.0252100840336135,0.0168067226890757,0.00840336134453779,0,0.00840336134453779,0,0.0252100840336135,0,0.0168067226890757,0.0168067226890757,0,0.0168067226890757,0.00840336134453779,0,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.0252100840336135,0.0168067226890757,0.0168067226890757,0.0168067226890757,0.00840336134453779,0,0.0168067226890757,0.00840336134453779,0,0,0,0.00840336134453779,0.0168067226890757,0.0168067226890757,0.0168067226890757,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.0252100840336135,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0,0.00840336134453779,0.0252100840336135,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.00840336134453779,0.0168067226890757,0.00840336134453779,0.0168067226890757,0.00840336134453779,0,0.00840336134453779,0.00840336134453779
550,1,2.5,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.0144927536231884,0,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.0217391304347826,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.0144927536231884,0,0,0.00724637681159424,0,0,0.00724637681159424,0.0144927536231884,0.00724637681159424,0,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.0144927536231884,0,0.0144927536231884,0,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.0217391304347826,0.0144927536231884,0.00724637681159424,0,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.0217391304347826,0.00724637681159424,0.00724637681159424,0,0,0.00724637681159424,0,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0,0,0,0,0.00724637681159424,0.00724637681159424,0,0,0.0217391304347826,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0,0.00724637681159424,0,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.0144927536231884,0,0.0144927536231884,0.0289855072463768,0.00724637681159424,0,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.00724637681159424,0,0.00724637681159424,0.00724637681159424
